date,spy,score,gauge_pct,regime,model_prob,fwd_ret_3m,fwd_ret_6m,fwd_dd_3m,fwd_dd_6m,trap_10pct_3m,trap_10pct_6m
2019-09-13,271.8511657714844,7.0,70.0,Early Bull Market,65.0,0.05813739283672392,-0.1957808464485763,-0.038889729551578545,-0.2910976143018592,False,True
2019-09-20,270.5577697753906,5.5,55.0,Bull Trap Risk,40.0,0.0758347087750153,-0.24445632051030286,-0.03426296384568872,-0.3371726607877109,False,True
2019-09-27,267.9454650878906,4.0,40.0,Bull Trap Risk,40.0,0.0983321596480744,-0.10466311246752147,-0.029348964952429224,-0.3371726607877109,False,True
2019-10-04,266.99298095703125,3.0,30.0,Bear Market,20.0,0.10491361926731657,-0.09044573523350452,-0.019772367172464,-0.3371726607877109,False,True
2019-10-11,268.7436828613281,5.0,50.0,Bull Trap Risk,40.0,0.1123341266765332,-0.03178694811708083,-0.01879732123775235,-0.3371726607877109,False,True
2019-10-18,270.27667236328125,6.5,65.0,Early Bull Market,65.0,0.1173227213776753,-0.07374628320724408,-0.01879732123775235,-0.3371726607877109,False,True
2019-10-25,273.5692138671875,7.5,75.0,Early Bull Market,65.0,0.089181595115567,-0.042362964447036466,-0.025456015417594458,-0.3371726607877109,False,True
2019-11-01,277.68731689453125,7.0,70.0,Early Bull Market,65.0,0.08015235967592083,-0.05504624662802171,-0.030787987299123132,-0.3371726607877109,False,True
2019-11-08,280.2270202636719,7.0,70.0,Early Bull Market,65.0,0.09053023698720142,-0.06203945579401815,-0.030787987299123132,-0.3371726607877109,False,True
2019-11-15,282.8122253417969,7.5,75.0,Early Bull Market,65.0,0.09048826122176612,-0.053431077442992136,-0.030787987299123132,-0.3371726607877109,False,True
2019-11-22,282.05926513671875,6.5,65.0,Early Bull Market,65.0,0.006661604554083711,-0.01332656317250347,-0.07932849800653352,-0.3371726607877109,False,True
2019-11-29,285.09796142578125,6.5,65.0,Early Bull Market,65.0,-0.04006812180143848,-0.009209930540168165,-0.12437170750986348,-0.3371726607877109,True,True
2019-12-06,285.6058349609375,7.5,75.0,Early Bull Market,65.0,-0.07949901760195721,0.029830750576039566,-0.1894837628786663,-0.3371726607877109,True,True
2019-12-13,287.8282165527344,7.5,75.0,Early Bull Market,65.0,-0.19941107272342684,-0.00306322764379785,-0.2910976143018592,-0.3371726607877109,True,True
