signal,outcome,n,base_rate,hit_rate,lift,avg_fwd_dd_26w,median_fwd_dd_26w
model_confirmed_drop,drop_20_26w,460,0.05334051724137931,0.12391304347826088,2.3230566534914363,-0.08117297446412591,-0.0585019550498897
model_crash_watch,drop_5_4w,251,0.10721982758620689,0.26294820717131473,2.4524214698992974,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_10_4w,251,0.02209051724137931,0.099601593625498,4.508794091924983,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_5_8w,251,0.18372844827586207,0.3784860557768924,2.060029676017338,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_10_8w,251,0.06303879310344827,0.1752988047808765,2.7808083903701437,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_5_13w,251,0.2494612068965517,0.450199203187251,1.8046862227117448,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_10_13w,251,0.109375,0.2350597609561753,2.14911781445646,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_10_26w,251,0.18480603448275862,0.30278884462151395,1.638414272937405,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_15_26w,251,0.10237068965517242,0.199203187250996,1.9459006080939398,-0.08688386476108707,-0.06297699416798125
model_crash_watch,drop_20_26w,251,0.05334051724137931,0.12749003984063745,2.3901163024669,-0.08688386476108707,-0.06297699416798125
model_crash_confirmed,drop_5_4w,136,0.10721982758620689,0.27205882352941174,2.5373928465858704,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_10_4w,136,0.02209051724137931,0.11029411764705882,4.992826398852224,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_5_8w,136,0.18372844827586207,0.3897058823529412,2.121097119199586,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_10_8w,136,0.06303879310344827,0.19852941176470587,3.1493212669683257,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_5_13w,136,0.2494612068965517,0.47794117647058826,1.915893787320544,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_10_13w,136,0.109375,0.2867647058823529,2.6218487394957983,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_10_26w,136,0.18480603448275862,0.34558823529411764,1.870005144915109,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_15_26w,136,0.10237068965517242,0.2426470588235294,2.3702786377708978,-0.1012131345055276,-0.06710150430820855
model_crash_confirmed,drop_20_26w,136,0.05334051724137931,0.16911764705882354,3.170528817587641,-0.1012131345055276,-0.06710150430820855
