d1_min,d2_min,liquidity_min,n,drop5_4w,drop10_8w,drop10_13w,drop10_26w,drop15_26w,drop20_26w,avg_fwd_dd_26w,median_fwd_dd_26w
40,7,0,300,0.23,0.15333333333333332,0.23666666666666666,0.36,0.23666666666666666,0.12666666666666668,-0.08808931955621606,-0.06717285787818328
30,9,0,341,0.22287390029325513,0.1466275659824047,0.2404692082111437,0.36656891495601174,0.25806451612903225,0.12316715542521994,-0.08725803144219096,-0.06703015073823382
20,9,0,441,0.21768707482993196,0.14965986394557823,0.24489795918367346,0.36507936507936506,0.25170068027210885,0.12244897959183673,-0.08337152010798905,-0.06215058117156935
30,11,0,286,0.23776223776223776,0.15034965034965034,0.23076923076923078,0.36013986013986016,0.26573426573426573,0.12237762237762238,-0.08749126795048576,-0.06680220409560594
30,3,0,454,0.21145374449339208,0.13215859030837004,0.23127753303964757,0.34801762114537443,0.2290748898678414,0.1211453744493392,-0.08349387096728234,-0.06310937460589228
20,11,30,215,0.22325581395348837,0.14883720930232558,0.22790697674418606,0.35348837209302325,0.2558139534883721,0.12093023255813953,-0.08568974752381803,-0.05989873268446466
30,7,0,392,0.21683673469387754,0.1377551020408163,0.23214285714285715,0.35459183673469385,0.23979591836734693,0.11989795918367346,-0.0842892742254601,-0.06649334075179503
30,5,0,435,0.21379310344827587,0.1310344827586207,0.22758620689655173,0.3448275862068966,0.22988505747126436,0.11954022988505747,-0.08261853911797949,-0.06310820695496977
20,9,30,270,0.2037037037037037,0.14074074074074075,0.21851851851851853,0.337037037037037,0.23333333333333334,0.11851851851851852,-0.08187217833088335,-0.05398696142392939
20,7,0,521,0.21497120921305182,0.1420345489443378,0.23224568138195778,0.3493282149712092,0.23224568138195778,0.11708253358925144,-0.08027200383070829,-0.05989873268446466
20,11,0,355,0.22253521126760564,0.14929577464788732,0.23661971830985915,0.36056338028169016,0.2535211267605634,0.11549295774647887,-0.08264786441977784,-0.05989873268446466
20,5,0,632,0.19462025316455697,0.12658227848101267,0.2120253164556962,0.3227848101265823,0.2120253164556962,0.11075949367088607,-0.07625688068643827,-0.05390397129573771
20,7,30,323,0.19195046439628483,0.13312693498452013,0.2043343653250774,0.3126934984520124,0.2043343653250774,0.10835913312693499,-0.07603253465207067,-0.0446826947794523
20,3,0,746,0.1769436997319035,0.11662198391420911,0.1970509383378016,0.3002680965147453,0.19168900804289543,0.09919571045576407,-0.07208549572954645,-0.04481055105694809
20,5,30,405,0.1728395061728395,0.11604938271604938,0.18518518518518517,0.2839506172839506,0.18024691358024691,0.09876543209876543,-0.07210648384260523,-0.043140896177527366
20,3,30,483,0.15527950310559005,0.10351966873706005,0.16770186335403728,0.2608695652173913,0.16149068322981366,0.08902691511387163,-0.06843468462510106,-0.03931897666426187
40,9,50,75,0.22666666666666666,0.09333333333333334,0.14666666666666667,0.18666666666666668,0.12,0.04,-0.06023880183926193,-0.04083630353492673
40,7,50,87,0.19540229885057472,0.08045977011494253,0.12643678160919541,0.16091954022988506,0.10344827586206896,0.034482758620689655,-0.05531805069936683,-0.03971351650275856
30,9,50,95,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.18947368421052632,0.11578947368421053,0.031578947368421054,-0.057031737453883694,-0.03938862860724407
50,9,50,64,0.234375,0.109375,0.15625,0.171875,0.125,0.03125,-0.05567885673458696,-0.04027491001884265
40,5,50,104,0.19230769230769232,0.0673076923076923,0.10576923076923077,0.1346153846153846,0.08653846153846154,0.028846153846153848,-0.052081258688033545,-0.03938862860724407
30,7,50,109,0.1834862385321101,0.09174311926605505,0.13761467889908258,0.1651376146788991,0.10091743119266056,0.027522935779816515,-0.052310792414156516,-0.038993169178919096
40,3,50,109,0.1926605504587156,0.07339449541284404,0.11926605504587157,0.14678899082568808,0.09174311926605505,0.027522935779816515,-0.05240855021822877,-0.03922715491758055
50,7,50,75,0.2,0.09333333333333334,0.13333333333333333,0.14666666666666667,0.10666666666666667,0.02666666666666667,-0.05024751435035148,-0.03922715491758055
20,9,50,115,0.20869565217391303,0.10434782608695652,0.1565217391304348,0.20869565217391303,0.10434782608695652,0.02608695652173913,-0.054314550469514014,-0.03921866382497369
