Date,Platinum_Equity,Benchmark_Equity
2022-07-21,38612.80075761787,36454.049650791574
2022-07-22,38604.92578908389,36115.82437995356
2022-07-25,38563.09377407416,36159.700550798996
2022-07-26,38516.54710723447,35731.89537759569
2022-07-27,38701.5361362628,36659.72232849463
2022-07-28,38842.029391530596,37119.528942557365
2022-07-29,38908.29053142086,37660.687021552716
2022-08-01,38955.86813493959,37549.161676435106
2022-08-02,38886.56492476603,37301.43450269736
2022-08-03,39066.67842765316,37885.55350073501
2022-08-04,39288.88366205535,37859.96470836121
2022-08-05,39119.24840647546,37795.97359836972
2022-08-08,39086.18973052603,37752.09448459244
2022-08-09,38913.45130436586,37602.18153651636
2022-08-10,39140.74189355295,38391.97321225706
2022-08-11,39090.7277912287,38391.97321225706
2022-08-12,39356.543387226724,39041.91382389246
2022-08-15,39275.42210733441,39202.79507894695
2022-08-16,39210.155859846025,39279.58205659126
2022-08-17,38722.68256326583,39000.77752259275
2022-08-18,38779.576451202716,39114.121599589256
2022-08-19,38535.264912157385,38588.513972451656
2022-08-22,38256.71552555946,37784.99646259578
2022-08-23,38344.107940614995,37693.594885419756
2022-08-24,38382.354895696575,37814.2580339095
2022-08-25,38608.8580319682,38348.09704141162
2022-08-26,38145.73615933417,37050.05220761075
2022-08-29,38048.81667267891,36805.070789282414
2022-08-30,37887.471995342436,36401.026847778485
2022-08-31,37745.87401480646,36124.05281738624
2022-09-01,37663.408756693934,36237.40278024643
2022-09-02,37715.20954356652,35855.2954526993
2022-09-06,37650.1531786624,35720.01181881414
2022-09-07,37782.67042380034,36361.71516422134
2022-09-08,37738.9783601435,36599.38928278383
2022-09-09,37830.573473843484,37167.97842948662
2022-09-12,37900.227899535996,37567.4402261112
2022-09-13,37658.72766963079,35933.912933949876
2022-09-14,37639.70119793608,36071.03001437314
2022-09-15,37440.42703202526,35661.50633377777
2022-09-16,37482.692795937386,35389.452885426814
2022-09-19,37500.64192530837,35663.8901085705
2022-09-20,37437.58351661388,35254.519460430965
2022-09-21,37444.362523050295,34639.5467649526
2022-09-22,37420.12597655778,34348.58792244301
2022-09-23,37234.668304016115,33773.07994297761
2022-09-26,37121.92119242457,33438.974776719624
2022-09-27,37139.499885214434,33353.61503861701
2022-09-28,37373.19097950673,34009.89472544197
2022-09-29,37321.53066278345,33299.45920684441
2022-09-30,37279.798611503895,32784.53147936461
2022-10-03,37550.220096204524,33650.08010660461
2022-10-04,37749.39691481634,34692.78734492206
2022-10-05,37700.29901727146,34612.01269463064
2022-10-06,37677.08194787606,34254.96737465744
2022-10-07,37504.04686698162,33299.4592068444
2022-10-10,37349.592743126945,33045.207553211
2022-10-11,37303.96210944385,32835.93566986411
2022-10-12,37353.465685963,32727.624006318918
2022-10-13,37338.33240705332,33591.348015816344
2022-10-14,37167.11036204437,32825.83552777937
2022-10-17,37255.55453578522,33669.35631017545
2022-10-18,37294.81132249077,34064.965809017696
2022-10-19,37165.28095521523,33823.56005287844
2022-10-20,37146.41760115986,33539.94088238499
2022-10-21,37356.339399407254,34355.01528558784
2022-10-24,37348.72502545077,34775.38955588789
2022-10-25,37414.472040212335,35330.709022911156
2022-10-26,37430.64080559321,35064.52083772305
2022-10-27,37385.75857225493,34877.27679922008
2022-10-28,37352.0781239809,35707.03348938704
2022-10-31,37251.396269950696,35449.111999745575
2022-11-01,37223.16239781159,35293.993005239434
2022-11-02,37035.733971092675,34408.23820796624
2022-11-03,36960.277598290464,34053.94747219797
2022-11-04,37114.49339096508,34544.09571356076
2022-11-07,37171.40644224331,34874.528100878844
2022-11-08,37256.141054254746,35062.684448253094
2022-11-09,37124.76035683141,34340.318283964516
2022-11-10,37572.45482877638,36227.46155648117
2022-11-11,37661.448156365674,36578.09422796875
2022-11-14,37609.357301098426,36266.93215835782
2022-11-15,37688.76110880719,36576.26078143065
2022-11-16,37626.7170434014,36297.23258461207
2022-11-17,37596.11830639486,36186.15750806642
2022-11-18,37603.5756206029,36350.461392854166
2022-11-21,37555.225093255554,36218.29138085878
2022-11-22,37651.151173533384,36705.67915215295
2022-11-23,37721.896660029655,36936.98476620745
2022-11-25,37711.63949709238,36928.7239565245
2022-11-28,37601.64854144438,36339.44894189813
2022-11-29,37597.928242422924,36277.04112923811
2022-11-30,37846.83479744101,37419.77567796305
2022-12-01,37906.14558774443,37392.247493504794
2022-12-02,37832.47838066457,37349.10705562008
2022-12-05,37643.02779575038,36677.22688709603
2022-12-06,37495.75022352429,36148.52918152342
2022-12-07,37518.13534966315,36087.027791871005
2022-12-08,37686.26701705241,36369.73759642501
2022-12-09,37644.47213915578,36098.043185758885
2022-12-12,37748.090206667206,36618.480081648544
2022-12-13,37891.90411289432,36895.674831929005
2022-12-14,37780.41623116296,36659.78413006331
2022-12-15,37518.74282382332,35763.02276769776
2022-12-16,37474.98361755099,35340.80033620039
2022-12-19,37387.5443273798,35041.1245295722
2022-12-20,37397.718553521714,35089.07371808817
2022-12-21,37530.42886528126,35613.74254996789
2022-12-22,37279.312378342554,35105.668910750144
2022-12-23,37285.57725467497,35307.60406501275
2022-12-27,37168.892451407206,35168.36807366261
2022-12-28,37078.547450109996,34731.30443688162
2022-12-29,37276.048923022136,35356.48027705923
2022-12-30,37288.87293659263,35263.342370095896
2023-01-03,37239.46356835978,35114.889116213875
2023-01-04,37394.38798724828,35385.991997579586
2023-01-05,37233.66369707627,34982.10697439517
2023-01-06,37572.47550014217,35784.326651308336
2023-01-09,37699.27266060508,35764.03513625171
2023-01-10,37790.07028532011,36014.846502560795
2023-01-11,37884.580727897206,36470.35643613293
2023-01-12,38052.947360133876,36603.13269208795
2023-01-13,38172.105684993454,36745.14386816591
2023-01-17,38174.36186550465,36677.82724519198
2023-01-18,38076.09437184635,36098.75537526486
2023-01-19,38005.14415972362,35835.96039049159
2023-01-20,38205.73079563572,36503.54976438872
2023-01-23,38924.09678865274,36941.54925349575
2023-01-24,38860.143154899044,36901.89030398116
2023-01-25,38837.60948298145,36915.725026574524
2023-01-26,39327.41255813614,37321.44349629705
2023-01-27,39522.78303225338,37407.19464433476
2023-01-30,38897.36072487608,36937.855874032946
2023-01-31,39357.19881399594,37480.959230976434
2023-02-01,40391.802538114156,37879.30271350072
2023-02-02,41387.14821355879,38430.7169099685
2023-02-03,40642.03790512432,38022.229141381824
2023-02-06,40310.446442450506,37789.864071863885
2023-02-07,41116.600567233676,38284.10593142011
2023-02-08,40492.33919754602,37865.473876771044
2023-02-09,40243.50468880938,37537.21043022116
2023-02-10,39825.75524675329,37624.8097394562
2023-02-13,40546.45866365002,38066.48789336682
2023-02-14,40923.247900548384,38048.97156303803
