Date,Platinum_Equity,Benchmark_Equity
2018-12-13,30556.04898438846,22760.00341085785
2018-12-14,30482.22549222932,22339.73511702467
2018-12-17,30511.84300913147,21901.470796296322
2018-12-18,30545.47821670524,21877.457945691083
2018-12-19,30452.371721284373,21549.821367729037
2018-12-20,30571.851201830974,21199.037161059896
2018-12-21,30485.762194791747,20764.682524997166
2018-12-24,30542.995957728177,20216.01706723776
2018-12-26,30616.726234005004,21237.432118523127
2018-12-27,30701.088359548714,21400.473473554794
2018-12-28,30740.874211052196,21372.871717831218
2018-12-31,30765.28023533019,21560.07012711781
2019-01-02,30779.660705830454,21582.501151973884
2019-01-03,30816.492311095186,21067.483702964404
2019-01-04,30817.77165685331,21773.15456298982
2019-01-07,30868.803879342842,21944.82459354996
2019-01-08,30856.963569918087,22151.000497429104
2019-01-09,30927.205731738355,22254.528417646816
2019-01-10,30883.340834509017,22333.03406171145
2019-01-11,30898.643441732424,22341.65685137667
2019-01-14,30907.839757215806,22205.353501636248
2019-01-15,30925.81079862049,22459.84351402525
2019-01-16,30951.235845445663,22514.19357530077
2019-01-17,30957.59154765238,22685.001326894384
2019-01-18,30897.28998490091,22986.93581149767
2019-01-22,30895.29996968421,22676.377065763358
2019-01-23,30884.590865092974,22723.820066511817
2019-01-24,30888.083119805913,22735.902272303818
2019-01-25,31041.554600072337,22928.284655650234
2019-01-28,31053.496177287718,22754.024845258904
2019-01-29,31087.71659563738,22723.820066511813
2019-01-30,31187.8627093808,23083.56402851739
2019-01-31,31224.34800222349,23286.293759462074
2019-02-01,31248.190456693217,23297.504857492673
2019-02-04,31263.03038099602,23461.4129058883
2019-02-05,31456.01524333147,23559.75979497782
2019-02-06,31415.669255272376,23528.70598045653
2019-02-07,31104.23995854059,23304.403089224852
2019-02-08,31113.438356575167,23332.87448124402
2019-02-11,31089.42445866656,23345.816023070915
2019-02-12,31203.316932969763,23646.02447827534
2019-02-13,31175.29682574625,23722.81145027018
2019-02-14,31261.26132770005,23670.18153253027
2019-02-15,31427.804478467646,23928.120660785367
2019-02-19,31551.64430040847,23969.536537563054
2019-02-20,31541.775523187895,24017.844760209664
2019-02-21,31387.245045203195,23932.43794148123
2019-02-22,31491.092240028516,24080.81908261621
2019-02-25,31517.985845092095,24113.595983604737
2019-02-26,31519.738729296292,24096.3504042743
2019-02-27,31410.04737252477,24085.992756415348
2019-02-28,31313.193780303078,24041.138064032264
2019-03-01,31412.254800607334,24191.237877237036
2019-03-04,31415.183836312604,24103.251578938103
2019-03-05,31417.14050004784,24070.462906223074
2019-03-06,31248.06104486733,23924.680373714164
