,Regime
2021-10-12,US_BULL
2021-10-13,US_BULL
2021-10-14,US_BULL
2021-10-15,US_BULL
2021-10-18,US_BULL
2021-10-19,US_BULL
2021-10-20,US_BULL
2021-10-21,US_BULL
2021-10-22,US_BULL
2021-10-25,US_BULL
2021-10-26,US_BULL
2021-10-27,US_BULL
2021-10-28,US_BULL
2021-10-29,US_BULL
2021-11-01,US_BULL
2021-11-02,US_BULL
2021-11-03,US_BULL
2021-11-04,US_BULL
2021-11-05,US_BULL
2021-11-08,US_BULL
2021-11-09,US_BULL
2021-11-10,US_BULL
2021-11-11,US_BULL
2021-11-12,US_BULL
2021-11-15,US_BULL
2021-11-16,US_BULL
2021-11-17,US_BULL
2021-11-18,US_BULL
2021-11-19,US_BULL
2021-11-22,US_BULL
2021-11-23,US_BULL
2021-11-24,US_BULL
2021-11-26,US_BULL
2021-11-29,US_BULL
2021-11-30,US_BULL
2021-12-01,US_BULL
2021-12-02,US_BULL
2021-12-03,US_BULL
2021-12-06,US_BULL
2021-12-07,US_BULL
2021-12-08,US_BULL
2021-12-09,US_BULL
2021-12-10,US_BULL
2021-12-13,US_BULL
2021-12-14,US_BULL
2021-12-15,US_BULL
2021-12-16,US_BULL
2021-12-17,US_BULL
2021-12-20,US_BULL
2021-12-21,US_BULL
2021-12-22,US_BULL
2021-12-23,US_BULL
2021-12-27,US_BULL
2021-12-28,US_BULL
2021-12-29,US_BULL
2021-12-30,US_BULL
2021-12-31,US_BULL
2022-01-03,US_BULL
2022-01-04,US_BULL
2022-01-05,US_BULL
2022-01-06,US_BULL
2022-01-07,BROAD_BULL
2022-01-10,BROAD_BULL
2022-01-11,BROAD_BULL
2022-01-12,BROAD_BULL
2022-01-13,BROAD_BULL
2022-01-14,BROAD_BULL
2022-01-18,BROAD_BULL
2022-01-19,BROAD_BULL
2022-01-20,BROAD_BULL
2022-01-21,INFLATION
2022-01-24,INFLATION
2022-01-25,INFLATION
2022-01-26,INFLATION
2022-01-27,INFLATION
2022-01-28,BROAD_BULL
2022-01-31,BROAD_BULL
2022-02-01,BROAD_BULL
2022-02-02,BROAD_BULL
2022-02-03,BROAD_BULL
2022-02-04,BROAD_BULL
2022-02-07,BROAD_BULL
2022-02-08,BROAD_BULL
2022-02-09,BROAD_BULL
2022-02-10,BROAD_BULL
2022-02-11,INFLATION
2022-02-14,INFLATION
2022-02-15,INFLATION
2022-02-16,INFLATION
2022-02-17,INFLATION
2022-02-18,INFLATION
2022-02-22,INFLATION
2022-02-23,INFLATION
2022-02-24,INFLATION
2022-02-25,INFLATION
2022-02-28,INFLATION
2022-03-01,INFLATION
2022-03-02,INFLATION
2022-03-03,INFLATION
2022-03-04,INFLATION
2022-03-07,INFLATION
2022-03-08,INFLATION
2022-03-09,INFLATION
2022-03-10,INFLATION
2022-03-11,INFLATION
2022-03-14,INFLATION
2022-03-15,INFLATION
2022-03-16,INFLATION
2022-03-17,INFLATION
2022-03-18,BROAD_BULL
2022-03-21,BROAD_BULL
2022-03-22,BROAD_BULL
2022-03-23,BROAD_BULL
2022-03-24,BROAD_BULL
2022-03-25,BROAD_BULL
2022-03-28,BROAD_BULL
2022-03-29,BROAD_BULL
2022-03-30,BROAD_BULL
2022-03-31,BROAD_BULL
2022-04-01,BROAD_BULL
2022-04-04,BROAD_BULL
2022-04-05,BROAD_BULL
2022-04-06,BROAD_BULL
2022-04-07,BROAD_BULL
2022-04-08,BROAD_BULL
2022-04-11,BROAD_BULL
2022-04-12,BROAD_BULL
2022-04-13,BROAD_BULL
2022-04-14,INFLATION
2022-04-18,INFLATION
2022-04-19,INFLATION
2022-04-20,INFLATION
2022-04-21,INFLATION
2022-04-22,INFLATION
2022-04-25,INFLATION
2022-04-26,INFLATION
2022-04-27,INFLATION
2022-04-28,INFLATION
2022-04-29,INFLATION
2022-05-02,INFLATION
2022-05-03,INFLATION
2022-05-04,INFLATION
2022-05-05,INFLATION
2022-05-06,INFLATION
2022-05-09,INFLATION
2022-05-10,INFLATION
2022-05-11,INFLATION
2022-05-12,INFLATION
2022-05-13,INFLATION
2022-05-16,INFLATION
2022-05-17,INFLATION
2022-05-18,INFLATION
2022-05-19,INFLATION
2022-05-20,INFLATION
2022-05-23,INFLATION
2022-05-24,INFLATION
2022-05-25,INFLATION
2022-05-26,INFLATION
2022-05-27,INFLATION
2022-05-31,INFLATION
2022-06-01,INFLATION
2022-06-02,INFLATION
2022-06-03,INFLATION
2022-06-06,INFLATION
2022-06-07,INFLATION
2022-06-08,INFLATION
2022-06-09,INFLATION
2022-06-10,INFLATION
2022-06-13,INFLATION
2022-06-14,INFLATION
2022-06-15,INFLATION
2022-06-16,INFLATION
2022-06-17,INFLATION
2022-06-21,INFLATION
2022-06-22,INFLATION
2022-06-23,INFLATION
2022-06-24,INFLATION
2022-06-27,INFLATION
2022-06-28,INFLATION
2022-06-29,INFLATION
2022-06-30,INFLATION
2022-07-01,RISK_OFF
2022-07-05,RISK_OFF
2022-07-06,RISK_OFF
2022-07-07,RISK_OFF
2022-07-08,RISK_OFF
2022-07-11,RISK_OFF
2022-07-12,RISK_OFF
2022-07-13,RISK_OFF
2022-07-14,RISK_OFF
2022-07-15,RISK_OFF
2022-07-18,RISK_OFF
2022-07-19,RISK_OFF
2022-07-20,RISK_OFF
2022-07-21,RISK_OFF
2022-07-22,RISK_OFF
2022-07-25,RISK_OFF
2022-07-26,RISK_OFF
2022-07-27,RISK_OFF
2022-07-28,RISK_OFF
2022-07-29,INFLATION
2022-08-01,INFLATION
2022-08-02,INFLATION
2022-08-03,INFLATION
2022-08-04,INFLATION
2022-08-05,RISK_OFF
2022-08-08,RISK_OFF
2022-08-09,RISK_OFF
2022-08-10,RISK_OFF
2022-08-11,RISK_OFF
2022-08-12,INFLATION
2022-08-15,INFLATION
2022-08-16,INFLATION
2022-08-17,INFLATION
2022-08-18,INFLATION
2022-08-19,INFLATION
2022-08-22,INFLATION
2022-08-23,INFLATION
2022-08-24,INFLATION
2022-08-25,INFLATION
2022-08-26,INFLATION
2022-08-29,INFLATION
2022-08-30,INFLATION
2022-08-31,INFLATION
2022-09-01,INFLATION
2022-09-02,RISK_OFF
2022-09-06,RISK_OFF
2022-09-07,RISK_OFF
2022-09-08,RISK_OFF
2022-09-09,INFLATION
