Date,Strategy_Return,SPY_Return,Fixed_Fund_Return,Strategy_Equity,SPY_Equity,Fixed_Fund_Equity,Turnover
2022-03-17,0.010844163056570693,0.012511007141435604,0.011667588167236388,113455.63244079477,148137.65960587282,146296.57844813427,0.0
2022-03-18,0.0033768571389489166,0.01095264543088148,0.006564140457041301,113838.75590315645,149760.15886649655,147256.88973745238,0.0
2022-03-21,0.008512330780356297,-0.00029240542375696954,0.011710552487984503,114807.78904902835,149716.36818378128,148981.34927394017,0.9000000000000001
2022-03-22,0.005907895054740939,0.011701238684620252,0.006590471910289819,115486.06141819684,151468.2351428942,149963.20667148716,0.0
2022-03-23,0.00022398363538812452,-0.012878252366424703,0.0011249222482028257,115511.92840606994,149517.58898522705,150131.90361908375,0.0
2022-03-24,0.0057142751952939195,0.015074275994922504,0.004698928440575878,116171.9953533213,151771.45838768577,150837.36269083724,0.0
2022-03-25,0.007358450598134349,0.004883556802057987,0.00815427260038648,117026.8412420154,152512.6429256532,152067.3316645417,0.0
2022-03-28,-0.006669086333137454,0.007113280079858786,-0.008039394479807694,116246.37913447803,153597.50807050287,150844.8023977987,0.060000000000000026
2022-03-29,0.005428103075776059,0.012370725314097886,0.005210607411783657,116877.37646260574,155497.620651773,151630.7954432017,0.0
2022-03-30,0.0003125902999715337,-0.006174895283527437,0.0006671548523623839,116913.91119677406,154537.43912741062,151731.9566641492,0.0
2022-03-31,-0.0104074397245718,-0.015391153519545342,-0.010648032244663402,115697.13671302969,152158.92967728327,150116.3098970435,0.0
2022-04-01,0.004479995882026435,0.0028339283616414246,0.004846206094673866,116215.4594090663,152590.13718357272,150843.8044729765,0.0
2022-04-04,0.0067059220283148535,0.008566567207992648,0.00669018595071319,116994.79121834828,153897.31084903263,151852.97757441373,0.0
2022-04-05,-0.008466693282109188,-0.01263131265692874,-0.008423567812616021,116004.23220549813,151953.38579863793,150573.833720268,0.0
2022-04-06,-0.00493666134553543,-0.009999230072976761,-0.004671594377690346,115431.55859645073,150433.96893366956,149870.41384523312,0.0
2022-04-07,0.004106111230521003,0.005038852225553336,0.004360518750663944,115905.53341556016,151191.9834728298,150523.92659497503,0.0
2022-04-08,0.003661071725465467,-0.002673875968092987,0.004493455964833864,116329.87188677286,150787.7148616535,151200.29923078345,0.0
2022-04-11,-0.006614652461341104,-0.017092238212184085,-0.0058409406033053226,115560.39021336952,148210.41531976723,150317.14726377444,0.0
2022-04-12,0.0037740930812866008,-0.003705340264511303,0.004417545330996919,115996.52588254459,147661.24530026293,150981.18007583832,0.0
2022-04-13,0.012900656233801648,0.011453555547129124,0.013668030102710747,117492.95718727057,149352.49157546778,153044.79539005767,0.0
2022-04-14,-0.004434536045066129,-0.012451815604716643,-0.004166432435792055,116971.93043358221,147492.78189026503,152407.14459041538,0.0
2022-04-18,0.0029518825153833895,0.00041137707997451756,0.003963648900433691,117317.21782981974,147553.45704019637,153011.23300148943,0.8
2022-04-19,-0.0006129273035511227,0.01614267925509205,0.0037281448835576264,117245.31090383518,149935.36517017626,153581.68104693075,0.0
2022-04-20,0.0004679049777353999,-0.0007416384586619307,0.0020936918033740543,117300.17056842323,149824.16733705255,153903.23375368712,0.0
2022-04-21,-0.006268024424921546,-0.014953710257395114,-0.011572290031366516,116564.9302342529,147583.7401491388,152122.22089592426,0.0
2022-04-22,-0.011767989236693357,-0.027439064220818654,-0.01914934963209545,115193.1953898803,143534.18042523792,149209.17930117733,0.0
2022-04-25,-0.011560280009443947,0.005797599481743632,-0.010439933318434385,113861.52979599072,144366.3341152838,147651.4454187747,0.0
2022-04-26,-0.0018120080497681004,-0.028960724008668337,-0.010756702803794399,113655.21178744147,140185.38055682785,146063.2027018543,0.0
2022-04-27,0.005277816087790024,0.0028116257379031673,0.004752526407448188,114255.06309267442,140579.5293808792,146757.3719298513,0.0
2022-04-28,0.010508545947801068,0.025259564905755427,0.017264773053621462,115455.71767295271,144130.50712769607,149291.10465016612,0.0
2022-04-29,-0.011241844151105823,-0.036955745085245684,-0.022832976785262728,114157.78248851928,138804.05684727774,145882.34432344264,0.0
2022-05-02,0.003162725892751844,0.006019653811831338,0.0035822459192249127,114518.83226305486,139639.6092171761,146404.93075608226,0.0
2022-05-03,0.0010098739813855567,0.004583911415625197,0.0037680612863375484,114634.48185213596,140279.70481594017,146956.59350779318,0.0
