Date,SPY,QQQ,GMOM,RLY,DBMF,SGOV
2023-10-17,421.5428161621094,362.4051513671875,25.05646514892578,24.55141830444336,25.054973602294922,89.15650939941406
2023-10-18,415.9256286621094,357.651123046875,24.9776668548584,24.424072265625,24.94327735900879,89.17424774169922
2023-10-19,412.27117919921875,354.3046569824219,24.871065139770508,24.360393524169922,25.020605087280273,89.20973205566406
2023-10-20,407.20513916015625,349.0191650390625,24.67547035217285,24.10569190979004,24.857357025146484,89.22747039794922
2023-10-23,406.4993896484375,350.0723571777344,24.481733322143555,23.91466522216797,24.676918029785156,89.2452163696289
2023-10-24,409.5641784667969,353.4779052734375,24.588335037231445,23.96924591064453,24.590993881225586,89.25409698486328
2023-10-25,403.68603515625,344.8262023925781,24.444650650024414,23.941957473754883,24.82298469543457,89.25409698486328
2023-10-26,398.8520202636719,338.2513732910156,24.26666831970215,23.91466522216797,24.65973472595215,89.30733489990234
2023-10-27,397.0440673828125,339.8753356933594,24.2861328125,23.91466522216797,24.65973472595215,89.30733489990234
2023-10-30,401.7911376953125,343.7041320800781,24.342679977416992,23.92376136779785,24.590993881225586,89.32508850097656
2023-10-31,404.31439208984375,345.34783935546875,24.361225128173828,23.869182586669922,24.73706817626953,89.34282684326172
2023-11-01,408.6263427734375,351.3420104980469,24.52808380126953,23.987438201904297,24.47929573059082,89.35797119140625
2023-11-02,416.4574279785156,357.7199401855469,24.71347427368164,24.442264556884766,24.290266036987305,89.39360046386719
2023-11-03,420.2569580078125,361.92279052734375,24.764461517333984,24.51503562927246,23.98094367980957,89.40251159667969
2023-11-06,421.2237548828125,363.3992004394531,24.842330932617188,24.4604549407959,24.101232528686523,89.42032623291016
2023-11-07,422.4225769042969,366.8343505859375,24.603164672851562,24.10569190979004,24.032499313354492,89.42032623291016
2023-11-08,422.7318420410156,367.0705261230469,24.492855072021484,23.951053619384766,23.98094367980957,89.43815612792969
2023-11-09,419.4351501464844,364.2456970214844,24.427038192749023,23.832799911499023,24.204345703125,89.48271179199219
2023-11-10,425.9803466796875,372.43475341796875,24.444650650024414,23.96014976501465,24.23871421813965,89.48271179199219
