,NTSX,Platinum,F-TAA Weekly,SPY
2021-03-29,118042.47537569488,121456.1466828995,99702.89965213848,131607.61496358577
2021-03-30,118293.35213084704,120702.19034738392,99487.95061719218,131258.41693045004
2021-03-31,118527.11701890115,122255.62183170102,99913.0222441303,131790.4457910251
2021-04-01,120185.83706583655,123374.2494656477,101021.87719889062,133213.66434444973
2021-04-05,121080.61623153632,124813.43319010078,101982.03665124286,135125.71398457728
2021-04-06,120997.97576463412,125006.4917111449,101828.60456598859,135045.89619224894
2021-04-07,120587.72878456854,125126.06373833049,101737.40182677869,135202.1851995887
2021-04-08,121186.82656228793,125712.27437378286,102302.2303089634,135843.9587163145
2021-04-09,121602.76533610042,126040.20345320446,102702.19160779296,136831.58368885907
2021-04-12,121539.6448028815,125961.01426564794,102560.66555023195,136881.47461736502
2021-04-13,121823.10342864899,126621.8679305234,102882.76650427148,137287.1413344227
2021-04-14,121949.59989608827,125023.22202677066,102973.77302636058,136818.27431240337
2021-04-15,123351.6054506952,126069.29917752763,103904.03072174393,138288.03721701706
2021-04-16,123506.19602829551,126345.830384603,104307.21840009167,138750.2495508085
2021-04-19,122992.62110020914,125706.57089105184,104049.3481923847,138068.5479047156
2021-04-20,122039.17267588737,125154.08750210241,102978.84156802228,137057.68922298242
2021-04-21,123214.27268362237,126209.77121100092,103829.51569171908,138354.5456328897
2021-04-22,122618.8964633529,125325.45768141715,103051.57056165108,137090.9241977158
2021-04-23,123737.11501947616,126614.58949062541,104248.86308623102,138577.34305610208
2021-04-26,124035.53284675794,126942.6382164714,104718.41994987948,138866.61042878116
2021-04-27,123765.31858720923,126339.5627616082,104758.18112966271,138836.6835649588
2021-04-28,123850.44009241137,126334.66230119992,104906.54474905418,138796.7939019976
2021-04-29,124179.03172372327,126917.88674550422,105334.5676937849,139681.32890661934
2021-04-30,123581.1744651538,126432.19305984177,104387.90750898272,138763.5204608583
2021-05-03,124267.83830051795,126320.97890558167,104966.7207242327,139062.86603189402
2021-05-04,124096.93854468131,124452.44985756856,104491.29984917749,138204.9113137778
2021-05-05,124545.96999111206,124191.50513052547,104838.33329696606,138248.14755405587
2021-05-06,125421.81299684616,125368.50075029678,105552.84534553192,139352.1334045731
2021-05-07,126035.35917407693,126401.05004320934,106629.17250279679,140366.33866362317
2021-05-10,124740.65852594218,123854.04427853042,105910.83809774964,138976.35508493189
2021-05-11,123850.294148982,123536.36498118845,105221.0471263243,137736.00582535253
2021-05-12,121483.42009670212,120632.72733572539,103301.31457123382,134809.7893925808
2021-05-13,122624.40582781303,121643.12592322883,103906.65769523004,136429.2250827124
2021-05-14,124456.54315474235,124062.8702582198,105458.31862223282,138524.14401668517
2021-05-17,124397.50903754687,123550.12315076255,105605.47567117595,138171.67633904444
