,Combined_Equity
2019-04-09,275227.4930913133
2019-04-10,276633.4438891361
2019-04-11,275601.2306034962
2019-04-12,276446.08435715665
2019-04-15,276137.9331880871
2019-04-16,276585.1749122334
2019-04-17,277099.16009271087
2019-04-18,277620.75960870605
2019-04-22,277813.05989483045
2019-04-23,280146.61934023944
2019-04-24,280395.641857601
2019-04-25,280204.932031036
2019-04-26,280786.26197425876
2019-04-29,280594.7551903477
2019-04-30,280217.2160307145
2019-05-01,278289.7031793085
2019-05-02,277413.0640840808
2019-05-03,281747.43931851996
2019-05-06,280043.5238234756
2019-05-07,275110.6400793573
2019-05-08,274058.5872931625
2019-05-09,272439.36681840406
2019-05-10,273016.4208158832
2019-05-13,263287.21418861684
2019-05-14,265756.2242892514
2019-05-15,267981.8579414631
2019-05-16,269681.7554096166
2019-05-17,267089.547193052
2019-05-20,263951.74422988185
2019-05-21,266123.8389187818
2019-05-22,264900.87664647604
2019-05-23,261940.44557139184
2019-05-24,262038.32914077514
2019-05-28,260593.30514388322
2019-05-29,259352.0661851349
2019-05-30,260563.3515718348
2019-05-31,257859.02658651135
2019-06-03,258208.1904949487
2019-06-04,259563.4608172283
2019-06-05,260278.70910298952
2019-06-06,260983.10481640935
2019-06-07,262841.0054273425
2019-06-10,262639.044320668
2019-06-11,262676.01820957573
2019-06-12,262655.4351825415
2019-06-13,263715.711644565
2019-06-14,263559.2585044874
2019-06-17,263729.00939212175
2019-06-18,265583.6256124697
2019-06-19,266302.5095942568
2019-06-20,268625.8483396959
2019-06-21,268329.0709251146
2019-06-24,269127.2973447672
2019-06-25,266792.2613651861
2019-06-26,266018.28247002943
2019-06-27,266707.0367414541
2019-06-28,267280.418498522
2019-07-01,268100.30449693603
2019-07-02,270018.5744284672
2019-07-03,271737.3130472485
2019-07-05,270416.6550054704
2019-07-08,268875.1589519601
2019-07-09,269555.7654626893
2019-07-10,271527.2953172065
2019-07-11,270622.6767042798
2019-07-12,271903.5704924798
2019-07-15,272384.4154865361
2019-07-16,271126.0615306198
2019-07-17,271358.256668547
2019-07-18,272527.74371795915
2019-07-19,270347.3903503624
2019-07-22,271836.8817485443
2019-07-23,272998.36026437447
2019-07-24,274606.6664822659
2019-07-25,272556.99238965573
2019-07-26,274396.4734001573
2019-07-29,274285.22853926755
2019-07-30,273973.1743460466
2019-07-31,271426.0999799046
2019-08-01,271946.5179525829
2019-08-02,269127.5326903675
2019-08-05,262736.5179551749
2019-08-06,265331.2647532421
2019-08-07,266634.2320789712
2019-08-08,271640.1909340446
2019-08-09,269778.7032110133
2019-08-12,268990.68834077124
2019-08-13,271890.9277578979
2019-08-14,267623.76613140653
2019-08-15,268453.4236379707
2019-08-16,271262.6170915491
2019-08-19,272619.8361118637
2019-08-20,272132.63187489606
2019-08-21,273294.83793364855
