,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2008-02-29,99384.61199951594,103426.72625738321,102897.04397290804,88540.95967998655
2008-03-03,99287.99818374027,103683.71473060292,102935.17842554217,88329.23906710793
2008-03-04,98513.28740009823,103198.76611225496,102935.17842554217,87991.7874425151
2008-03-05,98853.73608426006,103928.9109083811,102912.75150292843,88547.56656436005
2008-03-06,97643.86307241936,103535.17675659456,102957.62705863279,86714.85688086988
2008-03-07,97053.47864744658,103391.99661115512,102957.62705863279,85821.6261344321
2008-03-10,96884.6545055943,103272.42282828804,102957.62705863279,84690.14713331292
2008-03-11,98748.92109571671,103468.83731287558,102957.62705863279,87733.81863902186
2008-03-12,99055.06487427703,103767.91541662866,102980.11911267717,86913.26362069276
2008-03-13,99337.80530615879,104157.20086201515,102957.6270586328,87105.16358045083
2008-03-14,98642.10582113243,104182.4572347766,103092.27543622279,85755.45718638822
2008-03-17,97684.76892195584,104258.8335559336,101766.36095661613,84888.65397744451
2008-03-18,100137.61967961419,103848.69306760523,102548.05960590199,88415.22866827234
2008-03-19,98476.98220845583,102849.64057068634,100352.98261223151,86225.14660276008
2008-03-20,99366.4093965437,102139.86579060495,100158.85282744268,87822.31084790351
2008-03-24,100052.10745136555,102265.52047927407,100562.69907563576,89577.74000508529
2008-03-25,100748.00696499599,103003.734673441,101584.03810070982,89664.13002348448
2008-03-26,100345.8494564723,103289.62022161423,102126.49056261001,88567.08690455456
2008-03-27,99836.07655894793,103110.22440731268,102275.95536555447,88287.79588331042
2008-03-28,99423.51756301153,102670.7776888953,101729.06061833768,87443.31593520447
2008-03-31,99513.23039194605,102304.85606086752,101294.01979164005,87749.23470256006
2008-04-01,100748.9070937144,101563.85307805832,101240.8228953426,90834.34939206654
2008-04-02,101199.37151012594,102217.57004349967,102059.79271276164,90894.21176866295
2008-04-03,101284.98375267662,102282.80103239653,102227.66460498258,91120.2472976842
2008-04-04,101753.35072915428,102551.63014318353,102727.02369630086,91020.64351053798
2008-04-07,101683.9408035349,102770.4901662741,103076.52037868775,91067.19201407868
2008-04-08,101401.60042886133,102534.68246844542,102658.78152012818,90974.0950069973
2008-04-09,101560.4231405091,103015.19147952354,103186.52706059211,90315.80907305412
2008-04-10,101572.32484245246,102989.77383812921,102962.33791257923,90442.14071062047
2008-04-11,100503.6720250996,102712.1921730162,102581.41203626148,88686.7115534387
2008-04-14,100179.0256006609,102638.76837027539,102701.48639105649,88387.49977476531
2008-04-15,100076.51094106458,102764.860981741,103095.93603527696,88593.61454635732
2008-04-16,101574.62517139953,103370.80460150357,104345.88840358255,90994.01576442653
2008-04-17,101333.29066056447,103169.57119955636,103844.7358385745,91126.9542863664
2008-04-18,102002.38634124679,102795.23560473172,103699.43239600054,92077.74501030074
2008-04-21,102058.99443620439,102741.36192749055,103732.71016676628,92124.29351384143
2008-04-22,101870.96754835943,102685.34838430623,103812.05202676343,91718.77095933963
2008-04-23,101465.30953926411,102457.99725768581,103678.71937918162,91572.51856434403
2008-04-24,101294.58512567298,101955.69051857792,102903.70107410061,91971.43423447233
2008-04-25,101647.73562619455,101920.00991238319,103263.92925789714,92822.52106695178
2008-04-28,101978.68295166211,102050.49370014123,103564.48729749452,92842.441824381
2008-04-29,101514.6165901724,101589.92200272839,102676.53296365349,92476.7607847377
2008-04-30,101369.19579499868,101796.72896571565,102762.26211440066,91931.49261530515
2008-05-01,102402.7435923337,101577.97895562257,102330.61546321069,93833.17416748253
2008-05-02,102301.82916157012,101795.82329885548,102798.35621826256,94092.44432698873
2008-05-05,102325.23250824868,102201.53069284634,103324.79999833519,93640.37326894625
2008-05-06,102691.98495384841,102445.37012176271,103920.99019440271,94451.51848225851
2008-05-07,101751.05040020724,101928.47023755444,103052.07456972338,92769.36567903757
2008-05-08,101829.26158440657,102387.84174234816,103405.25235032769,92529.91617265191
2008-05-09,101870.56749115125,102407.92233134937,103341.22026963682,92357.03603154488
2008-05-12,102571.76776279008,102582.9887022501,103724.18224272999,93394.31687818708
2008-05-13,102535.86262835586,102153.15617443381,103615.59794242785,93407.6307512428
2008-05-14,102676.18269412527,102038.71956325916,103574.25656762671,93600.53175408777
2008-05-15,103678.32600061811,102882.05926298564,104563.59836457587,94770.75112266983
2008-05-16,103573.91106928291,103513.80197837822,105259.50634657903,94857.141141069
2008-05-19,103744.63548287404,103504.92706282678,105021.95162088017,95116.41130057522
2008-05-20,103623.41814879527,103777.58007741802,104538.65686308888,94345.2077064301
