Date,SPY Buy & Hold,System E Original,R3 Vol-Adjusted,R7 Full Kelly,A: Calmar blend Sys80/R320,C: Regime-switch SysE<->R7 (BearScore),D: 15% vol-target on [A]
2007-12-21,1.432686314941496,3.5100666135958765,1.8488937419792608,2.075220127978001,3.104252999001444,2.7264338832638155,2.5267376554541183
2007-12-28,1.4246587064660126,3.5626131034099306,1.8659215580227726,2.091475740952716,3.147145139264384,2.7575198987805645,2.5490634467512785
2008-01-04,1.3667244813051036,3.6010628756659266,1.8585477742591012,2.1097364337381785,3.17182302536531,2.7844382352014865,2.5617744520295704
2008-01-11,1.355504394216409,3.6176171801312322,1.8388881384357023,2.10613307093157,3.1767699058295538,2.788460484906689,2.565304228595141
2008-01-18,1.277259453532529,3.6349675584396084,1.831146553392888,2.115569107592148,3.186279379853301,2.8013938460254697,2.572983316048113
2008-01-25,1.2867379532001864,3.659203934313617,1.849481780742456,2.1330688769027435,3.209654290132059,2.822319501645278,2.5918590161959556
2008-02-01,1.3499917328727502,3.677994451350728,1.8556888724648588,2.1371163228728505,3.2249933950395873,2.832243642731287,2.604245645334547
2008-02-08,1.2870280278405353,3.6501617086827727,1.835417954358848,2.119821645343531,3.198422128151085,2.8100673177521904,2.582788824309165
2008-02-15,1.3070490831155013,3.631291237023941,1.8364869122356167,2.1151600447728587,3.185563660467414,2.799713882691858,2.572405358556217
2008-02-22,1.3116911061457697,3.6303765393173713,1.8359373253006503,2.1142402037212182,3.1847310364552124,2.798752498241632,2.5717329982774917
2008-02-29,1.29428206940906,3.6931675360269285,1.8677244522983159,2.153390138427012,3.2398255021716853,2.848868724702125,2.616222863790037
2008-03-07,1.254531069480335,3.6843952893976386,1.8515969158758607,2.1447719811774326,3.2280708067666897,2.839784539435951,2.606730715878113
2008-03-14,1.253563670554772,3.7265928283498333,1.87203846211179,2.170597527231474,3.2647751348585503,2.8731437794437307,2.63637018327832
2008-03-21,1.2837774307011687,3.765563947577034,1.893131686873877,2.1918717946758774,3.2994451992561498,2.9022468365304332,2.6643669427041816
2008-03-28,1.278237523060934,3.7273081804138566,1.8741588262753786,2.1689874770686037,3.2660155201630783,2.8723538259454604,2.637371818826728
2008-04-04,1.330529589270885,3.733384268850513,1.8798659499228652,2.1700803574093346,3.2722631817288916,2.875418657867869,2.642416928516354
2008-04-11,1.2964130820347655,3.7230702510653546,1.8710571658769972,2.157385049264321,3.2619634169065552,2.8630359529139433,2.63409966568791
2008-04-18,1.3459830049412143,3.6802006239353013,1.8542476280450353,2.1296385266058766,3.226052862608763,2.828205104283207,2.6051011862505815
2008-04-25,1.3568692989973363,3.65242820741488,1.841595714114542,2.112479470545074,3.2021739079062823,2.806107814354284,2.585818460309274
2008-05-02,1.3754342831758366,3.652514087005154,1.8430883376856644,2.11166542548035,3.202752814922739,2.805703836481383,2.586285939119922
2008-05-09,1.3500658055041248,3.6782190745771337,1.8458518172971319,2.1251934285357827,3.221742211552155,2.824858526968343,2.601620250674095
2008-05-16,1.386612102245509,3.666608723661747,1.8452628679655272,2.1166191788328548,3.213399575005799,2.8150508099420852,2.594883407451447
2008-05-23,1.3378187505905093,3.6563201368464213,1.8289733713460807,2.101206990049957,3.200509559410883,2.8036558212012266,2.5844744661391994
2008-05-30,1.3641595998959049,3.6185342439186243,1.8115046345057548,2.076457117501893,3.1679351770917408,2.772994806115672,2.5581700112418435
